sale_date_previous,sale_date_projected,sale_time,file_number,property_address,place_of_sale,loan_date,trustor,county,original_loan_amount,file_status,opening_bid_amount,max_bid_amount,sale_notation
,08/12/2025,01:30 PM,134084-CA,"6015 Gay Way, North Highlands CA, 95660","At the East Main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814",,,,,,,,
,08/14/2025,09:00 AM,105909-CA,"13694 Eastbridge St, Westminster CA, 92683","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,08/06/2025,03:30 PM,126287-CA,"3865 Myers Street, Oroville CA, 95966","AT THE MAIN ENTRANCE TO THE BUTTE COUNTY COURTHOUSE, 1 COURT STREET, OROVILLE, CA 95965",,,,,,,,
,08/06/2025,03:30 PM,129021-CA,"785 Bird St, Oroville CA, 95965","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,
,08/07/2025,09:00 AM,117023-CA,"1246 East Turin Avenue, Anaheim CA, 92805","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,08/07/2025,02:00 PM,127746-CA,"19670 Road 230, Strathmore CA, 93267","AT THE FRONT ENTRANCE TO THE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274",,,,,,,,
,08/12/2025,01:00 PM,132517-CA,"18027 N Shore Dr, Hidden Valley Lake CA, 95467","At the front door to the Lake County Courthouse, 255 Forbes Street, Lakeport, CA 95453",,,,,,,,
,08/07/2025,09:00 AM,131958-CA,"645 W 9Th St 601, Los Angeles CA, 90015","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,08/08/2025,09:00 AM,133920-CA,"4855 Pine Ridge Way, Julian CA, 92036","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,
,08/11/2025,10:00 AM,133242-CA,"114 River Rd, Miranda CA, 95553","IN THE FRONT ENTRANCE OF THE HUMBOLDT COUNTY COURTHOUSE, 825 5TH STREET, EUREKA, CA 95501",,,,,,,,
,08/12/2025,09:00 AM,121383-CA,"170 Northridge Road, Hayfork CA, 96041","AT THE COURT STREET ENTRANCE OF THE SUPERIOR COURT OF TRINITY COUNTY, 11 COURT STREET, WEAVERVILLE, CA 96093",,,,,,,,
,08/06/2025,11:00 AM,134013-CA,"954 Cloud Painter, Clio CA, 96106","OUTSIDE THE ENTRANCE TO THE COUNTY COURTHOUSE, 520 MAIN STREET, QUINCY, CA 95971",,,,,,,,
,08/11/2025,10:30 AM,081656-CA,"2272 BUCKMAN SPRINGS RD, CAMPO CA, 91906","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,
,08/07/2025,12:00 PM,131156-CA,"2323 Magnolia St 2, Oakland CA, 94607","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,
,08/07/2025,09:00 AM,132175-CA,"13410 Crystal Spring Dr, Corona CA, 92883","At the bottom of the stairway to the building located at 849 W. Sixth Street, Corona, CA 92882",,,,,,,,
,08/06/2025,01:00 PM,124716-CA,"580 N HARGRAVE ST, BANNING CA, 92220","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/04/2025,12:00 PM,133488-CA,"36709 Colby Ave, Barstow CA, 92311","At the North Arrowhead Avenue entrance to the County Courthouse, 351 North Arrowhead Avenue, San Bernardino, CA 92401",,,,,,,,
,08/04/2025,10:30 AM,132460-CA,"35109 Highway 79, Warner Springs CA, 92086","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,
,08/05/2025,09:00 AM,133237-CA,"324 E Tregallas Rd, Antioch CA, 94509","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,
,08/05/2025,02:00 PM,132568-CA,"15565 W Wallen Road, Red Bluff CA, 96080","AT THE MAIN ENTRANCE TO THE TEHAMA COUNTY COURTHOUSE, 633 WASHINGTON ST., RED BLUFF, CA 96080",,,,,,,,
,08/05/2025,09:00 AM,133519-CA,"2258 Pepper Dr, Concord CA, 94520","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,
,08/01/2025,10:30 AM,129479-CA,"805 LYON AVE, SANGER CA, 93657","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,08/01/2025,10:30 AM,135805-CA,"3015 N. ADOLINE AVENUE, FRESNO CA, 93705","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,07/31/2025,02:00 PM,135944-CA,"1016 ELLIS PLACE, PORTERVILLE CA, 93257","AT THE FRONT ENTRANCE TO THE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274",,,,,,,,
,08/05/2025,09:00 AM,135599-CA,"261 N Vine Ave, Rialto CA, 92376","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,07/30/2025,11:00 AM,126641-CA,"10919 See Drive, Whittier CA, 90606","By the fountain located at 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,
,07/29/2025,01:00 PM,122883-CA,"9678 5Th Avenue, Hesperia CA, 92345","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,07/30/2025,01:30 PM,129292-CA,"127 Grove Street, Richmond CA, 94804","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,07/29/2025,01:00 PM,119843-CA,"2072 Olive Way, Dinuba CA, 93618","FRONT ENTRANCE, TULARE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274",,,,,,,,
,07/25/2025,09:00 AM,132928-CA,"1480 Vicksburg Dr, El Cajon CA, 92021","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,
,07/30/2025,09:00 AM,133042-CA,"2265 Indigo Hills Drive Unit 6, Corona CA, 92879","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,07/29/2025,01:00 PM,133112-CA,"3050 Toga Ave, Twentynine Palms CA, 92277","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,07/28/2025,02:00 PM,133609-CA,"21660 Sacramento Ave, Red Bluff CA, 96080","At the main entrance to the historic Tehama County Courthouse, 633 Washington Street, Red Bluff, CA 96080",,,,,,,,
,07/21/2025,09:00 AM,088301-CA,"18644 Applewood Cir, Huntington Beach CA, 92646","AUCTION.COM, DOUBLETREE BY HILTON HOTEL ANAHEIM - ORANGE COUNTY, 100 THE CITY DRIVE, ORANGE, CA 92868",,,,,,,,
,07/23/2025,03:30 PM,126638-CA,"2530 Ceres Ave, Chico CA, 95973","AT THE MAIN ENTRANCE TO THE BUTTE COUNTY COURTHOUSE, 1 COURT STREET, OROVILLE, CA 95965",,,,,,,,
,07/24/2025,03:30 PM,131472-CA,"16431 Estralita Dr, Sonora CA, 95370","AT THE FRONT ENTRANCE TO THE ADMINISTRATION BUILDING, AT THE COUNTY COURTHOUSE COMPLEX, 2 S. GREEN STREET, SONORA, CA 95370",,,,,,,,
,07/23/2025,03:30 PM,131713-CA,"2940 Oro Garden Ranch Rd, Oroville CA, 95966","AT THE MAIN ENTRANCE TO THE BUTTE COUNTY COURTHOUSE, 1 COURT STREET, OROVILLE, CA 95965",,,,,,,,
,07/23/2025,09:00 AM,132807-CA,"11730 Ambrosio Dr, Desert Hot Springs CA, 92240","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,07/21/2025,01:00 PM,132586-CA,"1817 Fairfax Avenue, Modesto CA, 95355","AT THE ""I"" STREET SIDE OF THE COUNTY COURTHOUSE BUILDING, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,
,07/23/2025,09:30 AM,132587-CA,"2960 Hebron Lane, Stockton CA, 95206","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,07/22/2025,01:00 PM,135610-CA,"14785 OLYMPIC DRIVE, CLEARLAKE CA, 95422","AT THE FRONT ENTRANCE TO THE COUNTY COURTHOUSE, 255 NORTH FORBES ST., LAKEPORT, CA 95453",,,,,,,,
,07/23/2025,01:00 PM,132824-CA,"1280 Berylstone Dr, Hemet CA, 92545","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/21/2025,01:00 PM,129020-CA,"9793 Surrey Ave, Montclair CA, 91763","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,10:30 AM,128218-CA,"1610 S Curson Ave, Los Angeles CA, 90019","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,10:30 AM,128254-CA,"20963 East Covina Boulevard E, Covina CA, 91724","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,10:30 AM,126725-CA,"9666 Lemona Avenue, North Hills CA, 91343","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,01:00 PM,132501-CA,"7659 Elk Trail, Yucca Valley CA, 92284","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,10:30 AM,127720-CA,"1936 Ivory Ave, Palmdale CA, 93550","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,12:00 PM,131001-CA,"17200 Latrobe Road, Plymouth CA, 95669","Outside the Main Entrance to the Amador County Courthouse located at 500 Argonaut Lane, Jackson, CA 95642",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,09:00 AM,132215-CA,"49801 Evening Star Trl, Aguanga CA, 92536","At the bottom of the stairway to the building located at 849 W. Sixth Street, Corona, CA 92882",,,,,,,,From 09/16/2025 to 10/21/2025
,10/21/2025,09:00 AM,130685-CA,"452 S Cottonwood Ln, Blythe CA, 92225","At the bottom of the stairway to the building located at 849 W. Sixth Street, Corona, CA 92882",,,,,,,,
,10/21/2025,10:30 AM,128996-CA,"130E Camino Real, Monrovia CA, 91016","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/21/2025,10:30 AM,128801-CA,"23836 Twin Pines Ln, Diamond Bar CA, 91765","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/20/2025,11:00 AM,123675-CA,"8545 La Tuna Canyon Road, Los Angeles & Sun Valley CA, 91352","At The Courtyard located at 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/08/2025 to 10/20/2025
,10/21/2025,10:00 AM,124167-CA,"109 Pine Way, Carmel CA, 93923","OUTSIDE THE MAIN ENTRANCE OF THE MONTEREY COUNTY ADMINISTRATION BUILDING LOCATED AT 168 WEST ALISAL STREET, SALINAS, CA 93901",,,,,,,,From 09/16/2025 to 10/21/2025
,10/20/2025,10:00 AM,078879-CA,"7913 REVELSTOKE WAY, BAKERSFIELD CA, 93309","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,10:00 AM,121148-CA,"7021 Via Del Mar, Bakersfield CA, 93307","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,10:00 AM,128328-CA,"4521 Southern Breeze Dr, Bakersfield CA, 93313","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,From 08/25/2025 to 10/20/2025
,10/20/2025,12:00 PM,133126-CA,"5563 Vista Dr, Kelseyville CA, 95451","Front Door, Lake County Courthouse, 255 N. Forbes St., Lakeport, CA 95453",,,,,,,,From 09/22/2025 to 10/20/2025
,10/20/2025,09:30 AM,133578-CA,"135 Gypsum Dr, Vallejo CA, 94589","OUTSIDE OF SANTA CLARA STREET ENTRANCE TO THE CITY HALL 555 SANTA CLARA STREET, VALLEJO, CA 94590",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,10:00 AM,133470-CA,"1853 Rue Bienville Pl #831, Chula Vista CA, 91913","At the entrance to the East County Regional Center by statue, 250 E. Main Street, El Cajon, CA 92020",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,01:00 PM,130915-CA,"401 Church Street, Empire & Modesto CA, 95319","AT THE ""I"" STREET SIDE OF THE COUNTY COURTHOUSE BUILDING, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,From 08/18/2025 to 10/20/2025
,10/20/2025,09:30 AM,133949-CA,"5109 Napa Shore Dr, Fairfield CA, 94534","OUTSIDE OF SANTA CLARA STREET ENTRANCE TO THE CITY HALL 555 SANTA CLARA STREET, VALLEJO, CA 94590",,,,,,,,From 08/11/2025 to 10/20/2025
,10/20/2025,10:00 AM,135596-CA,"1823 California St, Eureka CA, 95501","IN THE FRONT ENTRANCE OF THE HUMBOLDT COUNTY COURTHOUSE, 825 5TH STREET, EUREKA, CA 95501",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,10:30 AM,119674-CA,"17959 Bluegrass Rd, Ramona CA, 92065","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/08/2025 to 10/20/2025
,10/20/2025,09:30 AM,131151-CA,"1930 Grande Circ 86, Fairfield CA, 94533","OUTSIDE OF SANTA CLARA STREET ENTRANCE TO THE CITY HALL 555 SANTA CLARA STREET, VALLEJO, CA 94590",,,,,,,,From 09/15/2025 to 10/20/2025
,10/20/2025,10:00 AM,125849-CA,"4208 Santa Cruz St, Bakersfield CA, 93307","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/20/2025,01:00 PM,129892-CA,"2800 Walnut Terr, Modesto CA, 95355","AT THE ""I"" STREET SIDE OF THE COUNTY COURTHOUSE BUILDING, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,
,10/20/2025,01:00 PM,138800-CA,"5208 9TH ST, KEYES CA, 95328","AT THE ""I"" STREET SIDE OF THE COUNTY COURTHOUSE BUILDING, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,
,10/17/2025,10:00 AM,049319-CA,"173 CLAYTON AVE , SAN JOSE CA, 95110","At the Gated North Market Street entrance of the Superior Courthouse, 191 N. First Street, San Jose, CA 95113",,,,,,,,From 09/19/2025 to 10/17/2025
,10/17/2025,09:00 AM,120107-CA,"2576 Nye Street, San Diego CA, 92111","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/05/2025 to 10/17/2025
,10/17/2025,09:00 AM,127764-CA,"2005 Camino Culebra, Vista CA, 92084","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 08/08/2025 to 10/17/2025
,10/17/2025,09:00 AM,111483-CA,"802 Billow Dr, San Diego CA, 92114","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,
,10/16/2025,09:00 AM,132241-CA,"8292 Darsy Dr, Huntington Beach CA, 92647","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,From 09/11/2025 to 10/16/2025
,10/16/2025,01:30 PM,132804-CA,"887 40Th Ave, San Francisco CA, 94121","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,From 07/17/2025 to 10/16/2025
,10/16/2025,01:30 PM,134754-CA,"188 Minna Street, San Francisco CA, 94105","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,From 08/28/2025 to 10/16/2025
,10/16/2025,09:00 AM,133059-CA,"808E Alberta Street, Anaheim CA, 92805","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,10/16/2025,03:30 PM,136325-CA,"10562 Calamity Jane Ln, Jamestown CA, 95327","AT THE FRONT ENTRANCE TO THE ADMINISTRATION BUILDING, AT THE COUNTY COURTHOUSE COMPLEX, 2 S. GREEN STREET, SONORA, CA 95370",,,,,,,,
,10/16/2025,09:00 AM,135563-CA,"4740 W 162Nd St, Lawndale CA, 90620","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,12:00 PM,136569-CA,"33012 Corning Ct, Union City CA, 94587","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,
,10/16/2025,09:00 AM,135385-CA,"3834 Dublin Ave, Los Angeles CA, 90008","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,01:30 PM,134854-CA,"766 Harrison Street Unit 713, San Francisco CA, 94105","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,
,10/16/2025,09:00 AM,136617-CA,"16815 Jubilee Trail Ave, Palmdale CA, 93591","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,09:00 AM,124233-CA,"42154 55Th St West, Lancaster CA, 93536","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 10/16/2025
,10/16/2025,09:30 AM,122869-CA,"142 Sage Sparrow Cir, Vacaville CA, 95687","At the Santa Clara Street entrance to the City Hall, 555 Santa Clara Street, Vallejo, CA 94590",,,,,,,,From 09/11/2025 to 10/16/2025
,10/16/2025,09:00 AM,125815-CA,"1305 W 94Th St, Los Angeles CA, 90044","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 10/16/2025
,10/16/2025,09:00 AM,128369-CA,"10515 S Manhattan Pl, Los Angeles CA, 90047","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/16/2025
,10/16/2025,09:00 AM,068169-CA,"3627 W 60TH ST, LOS ANGELES CA, 90043","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 10/16/2025
,10/16/2025,12:00 PM,131317-CA,"1609 36Th Avenue, Oakland CA, 94601","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,From 09/11/2025 to 10/16/2025
,10/16/2025,01:30 PM,120297-CA,"7615 Granite Ave, Orangevale CA, 95662","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 09/11/2025 to 10/16/2025
,10/16/2025,10:00 AM,116353-CA,"9440 Wentworth St, Sunland CA, 91040","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/11/2025 to 10/16/2025
,10/16/2025,10:00 AM,083367-CA,"6040 GRACIOSA DR, LOS ANGELES CA, 90068","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 08/28/2025 to 10/16/2025
,10/16/2025,09:00 AM,126492-CA,"240 W 82Nd Street, Los Angeles CA, 90003","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 10/16/2025
,10/16/2025,09:00 AM,129377-CA,"350 W Poplar St, Compton CA, 90220","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,10:00 AM,115763-CA,"450 B Street, Fresno CA, 93706","At the Van Ness Avenue exit from the County Courthouse at 1100 Van Ness Avenue, Fresno, CA 93724",,,,,,,,
,10/16/2025,09:00 AM,131591-CA,"299 E Arrow Hwy 4, Glendora CA, 91740","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,09:00 AM,122519-CA,"6910 Sycamore Ln, Palmdale CA, 93551","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,09:00 AM,131268-CA,"623 N Hanford Ave, San Pedro CA, 90732","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/16/2025,09:00 AM,129518-CA,"235 E 31St St, Los Angeles CA, 90011","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/15/2025,09:00 AM,133358-CA,"196 Owetzal Lane, Riverside CA, 92507","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 09/03/2025 to 10/15/2025
,10/15/2025,01:30 PM,133543-CA,"1998 Calaveras Drive, Bay Point CA, 94565","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/10/2025 to 10/15/2025
,10/15/2025,01:00 PM,132366-CA,"1255 Michigan Avenue, Beaumont CA, 92223","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/15/2025,09:00 AM,134446-CA,"19414 Dry Gulch Road, Corona CA, 92881","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 10/01/2025 to 10/15/2025
,10/15/2025,10:30 AM,135769-CA,"13933 Lefloss Ave, Norwalk CA, 90650","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/15/2025,09:30 AM,134582-CA,"2079 Hyde Park Pl, Manteca CA, 95336","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,10/15/2025,01:00 PM,134669-CA,"13633 El Rio Lane, Desert Hot Springs CA, 92240","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/15/2025,10:00 AM,133601-CA,"410 Mckinley Street, Taft CA, 93268","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/15/2025,10:30 AM,135097-CA,"2581 Millbrae Avenue, Duarte CA, 91010","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/15/2025,01:00 PM,132763-CA,"33615 Orange St, Wildomar CA, 92595","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/15/2025,09:00 AM,120061-CA,"21955 Dracaea Ave, Moreno Valley CA, 92553","AUCTION.COM ROOM, 2410 WARDLOW ROAD #111, CORONA, CA 92880",,,,,,,,From 09/17/2025 to 10/15/2025
,10/15/2025,09:30 AM,119301-CA,"6886 Annapolis Quay Cir, Stockton CA, 95219","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,From 08/13/2025 to 10/15/2025
,10/15/2025,10:30 AM,121566-CA,"8703 W Knoll Dr Unit 101, West Hollywood CA, 90069","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 10/15/2025
,10/15/2025,10:30 AM,113391-CA,"917 Marvin Gardens #9, Rocklin CA, 95765","OUTSIDE THE MAIN ENTRANCE TO CITY OF ROSEVILLE CIVIC CENTER, 311 VERNON STREET, ROSEVILLE, CA 95678",,,,,,,,From 09/10/2025 to 10/15/2025
,10/15/2025,01:30 PM,119227-CA,"220 8Th St, Seal Beach CA, 90740","At the North front entrance to the County Courthouse at 700 Civic Center Drive West, Santa Ana, CA 92701",,,,,,,,From 09/10/2025 to 10/15/2025
,10/15/2025,09:00 AM,129528-CA,"48841 Andorra St, Indio CA, 92201","Auction.com Room, 2410 Wardlow Road #111, Corona, CA 92880",,,,,,,,From 09/03/2025 to 10/15/2025
